date,revenue,fixed_cost,variable_cost,total_cost,profit
2023-01-01,1561,300,335,635,926
2023-01-02,1596,300,745,1045,551
2023-01-03,1347,300,244,544,803
2023-01-04,629,300,683,983,-354
2023-01-05,1249,300,608,908,341
2023-01-06,1914,300,381,681,1233
2023-01-07,1702,300,376,676,1026
2023-01-08,1778,300,457,757,1021
2023-01-09,1414,300,568,868,546
2023-01-10,1407,300,352,652,755
2023-01-11,1168,300,498,798,370
2023-01-12,1062,300,680,980,82
2023-01-13,1739,300,603,903,836
2023-01-14,1610,300,241,541,1069
2023-01-15,1917,300,107,407,1510
2023-01-16,819,300,634,934,-115
2023-01-17,1837,300,613,913,924
2023-01-18,816,300,309,609,207
2023-01-19,1788,300,753,1053,735
2023-01-20,1127,300,531,831,296
2023-01-21,1133,300,556,856,277
2023-01-22,1042,300,171,471,571
2023-01-23,1911,300,554,854,1057
2023-01-24,1837,300,615,915,922
2023-01-25,1464,300,597,897,567
2023-01-26,1567,300,688,988,579
2023-01-27,1550,300,436,736,814
2023-01-28,1121,300,397,697,424
2023-01-29,1990,300,115,415,1575
2023-01-30,1588,300,296,596,992
2023-01-31,525,300,467,767,-242
2023-02-01,1995,300,382,682,1313
2023-02-02,1546,300,226,526,1020
2023-02-03,1803,300,481,781,1022
2023-02-04,1880,300,255,555,1325
2023-02-05,1433,300,413,713,720
2023-02-06,1095,300,266,566,529
2023-02-07,1148,300,388,688,460
2023-02-08,1942,300,379,679,1263
2023-02-09,1251,300,187,487,764
2023-02-10,743,300,448,748,-5
2023-02-11,1086,300,290,590,496
2023-02-12,1826,300,251,551,1275
2023-02-13,1195,300,421,721,474
2023-02-14,1893,300,353,653,1240
2023-02-15,961,300,664,964,-3
2023-02-16,969,300,554,854,115
2023-02-17,649,300,363,663,-14
2023-02-18,577,300,175,475,102
2023-02-19,1856,300,143,443,1413
2023-02-20,1032,300,642,942,90
2023-02-21,1371,300,669,969,402
2023-02-22,710,300,196,496,214
2023-02-23,769,300,110,410,359
2023-02-24,779,300,252,552,227
2023-02-25,916,300,240,540,376
2023-02-26,1717,300,706,1006,711
2023-02-27,989,300,252,552,437
2023-02-28,1862,300,230,530,1332
2023-03-01,1115,300,366,666,449
2023-03-02,989,300,570,870,119
2023-03-03,1722,300,427,727,995
2023-03-04,676,300,666,966,-290
2023-03-05,1539,300,501,801,738
2023-03-06,670,300,120,420,250
2023-03-07,1130,300,378,678,452
2023-03-08,985,300,726,1026,-41
2023-03-09,1109,300,793,1093,16
2023-03-10,1534,300,196,496,1038
2023-03-11,683,300,417,717,-34
2023-03-12,905,300,331,631,274
2023-03-13,1620,300,605,905,715
2023-03-14,1549,300,597,897,652
2023-03-15,1410,300,241,541,869
2023-03-16,1736,300,728,1028,708
2023-03-17,1311,300,746,1046,265
2023-03-18,1196,300,636,936,260
2023-03-19,1519,300,237,537,982
2023-03-20,950,300,299,599,351
2023-03-21,1849,300,520,820,1029
2023-03-22,1369,300,121,421,948
2023-03-23,1820,300,177,477,1343
2023-03-24,719,300,789,1089,-370
2023-03-25,869,300,403,703,166
2023-03-26,1985,300,524,824,1161
2023-03-27,1986,300,657,957,1029
2023-03-28,1156,300,334,634,522
2023-03-29,951,300,422,722,229
2023-03-30,1474,300,402,702,772
2023-03-31,884,300,513,813,71
2023-04-01,563,300,647,947,-384
2023-04-02,1449,300,577,877,572
2023-04-03,1045,300,742,1042,3
2023-04-04,1992,300,695,995,997
2023-04-05,1572,300,388,688,884
2023-04-06,753,300,768,1068,-315
2023-04-07,555,300,387,687,-132
2023-04-08,1552,300,322,622,930
2023-04-09,1854,300,236,536,1318
2023-04-10,609,300,711,1011,-402
2023-04-11,1556,300,620,920,636
2023-04-12,1473,300,662,962,511
2023-04-13,1091,300,269,569,522
2023-04-14,1332,300,720,1020,312
2023-04-15,1735,300,124,424,1311
2023-04-16,1637,300,144,444,1193
2023-04-17,1795,300,770,1070,725
2023-04-18,975,300,599,899,76
2023-04-19,1775,300,766,1066,709
2023-04-20,735,300,186,486,249
2023-04-21,891,300,153,453,438
2023-04-22,1955,300,544,844,1111
2023-04-23,790,300,200,500,290
2023-04-24,1240,300,551,851,389
2023-04-25,1292,300,329,629,663
2023-04-26,666,300,787,1087,-421
2023-04-27,1755,300,179,479,1276
2023-04-28,1611,300,516,816,795
2023-04-29,1214,300,770,1070,144
2023-04-30,1157,300,424,724,433
2023-05-01,1332,300,288,588,744
2023-05-02,706,300,245,545,161
2023-05-03,1691,300,263,563,1128
2023-05-04,965,300,768,1068,-103
2023-05-05,1181,300,558,858,323
2023-05-06,1850,300,765,1065,785
2023-05-07,1754,300,340,640,1114
2023-05-08,1572,300,790,1090,482
2023-05-09,1824,300,717,1017,807
2023-05-10,682,300,356,656,26
2023-05-11,1866,300,603,903,963
2023-05-12,1284,300,375,675,609
2023-05-13,1124,300,151,451,673
2023-05-14,1379,300,238,538,841
2023-05-15,623,300,424,724,-101
2023-05-16,1931,300,370,670,1261
2023-05-17,674,300,480,780,-106
2023-05-18,1655,300,540,840,815
2023-05-19,1732,300,666,966,766
2023-05-20,1475,300,683,983,492
2023-05-21,1026,300,243,543,483
2023-05-22,1933,300,605,905,1028
2023-05-23,1454,300,726,1026,428
2023-05-24,1561,300,250,550,1011
2023-05-25,975,300,538,838,137
2023-05-26,1856,300,624,924,932
2023-05-27,876,300,415,715,161
2023-05-28,1467,300,523,823,644
2023-05-29,1137,300,143,443,694
2023-05-30,1984,300,703,1003,981
2023-05-31,1124,300,353,653,471
2023-06-01,1337,300,517,817,520
2023-06-02,671,300,510,810,-139
2023-06-03,1196,300,685,985,211
2023-06-04,1832,300,701,1001,831
2023-06-05,1039,300,143,443,596
2023-06-06,1525,300,438,738,787
2023-06-07,1651,300,706,1006,645
2023-06-08,910,300,642,942,-32
2023-06-09,1371,300,164,464,907
2023-06-10,1674,300,710,1010,664
2023-06-11,570,300,752,1052,-482
2023-06-12,1819,300,330,630,1189
2023-06-13,1607,300,276,576,1031
2023-06-14,817,300,554,854,-37
2023-06-15,1281,300,264,564,717
2023-06-16,1803,300,506,806,997
2023-06-17,1974,300,734,1034,940
2023-06-18,976,300,349,649,327
2023-06-19,1875,300,665,965,910
2023-06-20,1405,300,781,1081,324
2023-06-21,1965,300,465,765,1200
2023-06-22,1258,300,462,762,496
2023-06-23,605,300,136,436,169
2023-06-24,1636,300,244,544,1092
2023-06-25,1682,300,215,515,1167
2023-06-26,1118,300,312,612,506
2023-06-27,1303,300,525,825,478
2023-06-28,837,300,313,613,224
2023-06-29,593,300,264,564,29
2023-06-30,1121,300,402,702,419
2023-07-01,1348,300,428,728,620
2023-07-02,1040,300,742,1042,-2
2023-07-03,897,300,525,825,72
2023-07-04,1389,300,392,692,697
2023-07-05,1240,300,268,568,672
2023-07-06,1542,300,325,625,917
2023-07-07,1434,300,419,719,715
2023-07-08,999,300,658,958,41
2023-07-09,1884,300,317,617,1267
2023-07-10,1499,300,212,512,987
2023-07-11,1011,300,457,757,254
2023-07-12,1014,300,198,498,516
2023-07-13,1215,300,542,842,373
2023-07-14,1294,300,332,632,662
2023-07-15,1417,300,670,970,447
2023-07-16,1924,300,649,949,975
2023-07-17,1501,300,337,637,864
2023-07-18,988,300,334,634,354
2023-07-19,1018,300,196,496,522
2023-07-20,600,300,443,743,-143
2023-07-21,703,300,479,779,-76
2023-07-22,1044,300,722,1022,22
2023-07-23,1189,300,228,528,661
2023-07-24,1621,300,554,854,767
2023-07-25,1414,300,768,1068,346
2023-07-26,1064,300,714,1014,50
2023-07-27,1234,300,477,777,457
2023-07-28,1318,300,619,919,399
2023-07-29,1993,300,372,672,1321
2023-07-30,1243,300,769,1069,174
2023-07-31,1407,300,545,845,562
2023-08-01,1518,300,460,760,758
2023-08-02,1660,300,268,568,1092
2023-08-03,1444,300,258,558,886
2023-08-04,1931,300,550,850,1081
2023-08-05,1232,300,240,540,692
2023-08-06,1157,300,517,817,340
2023-08-07,1022,300,128,428,594
2023-08-08,1471,300,745,1045,426
2023-08-09,1389,300,142,442,947
2023-08-10,812,300,690,990,-178
2023-08-11,873,300,601,901,-28
2023-08-12,1287,300,496,796,491
2023-08-13,653,300,433,733,-80
2023-08-14,1284,300,360,660,624
2023-08-15,1386,300,767,1067,319
2023-08-16,1446,300,743,1043,403
2023-08-17,1654,300,452,752,902
2023-08-18,1841,300,499,799,1042
2023-08-19,856,300,606,906,-50
2023-08-20,1408,300,258,558,850
2023-08-21,644,300,708,1008,-364
2023-08-22,1456,300,527,827,629
2023-08-23,787,300,711,1011,-224
2023-08-24,1824,300,633,933,891
2023-08-25,1415,300,645,945,470
2023-08-26,504,300,651,951,-447
2023-08-27,624,300,167,467,157
2023-08-28,1686,300,262,562,1124
2023-08-29,542,300,138,438,104
2023-08-30,878,300,788,1088,-210
2023-08-31,622,300,610,910,-288
2023-09-01,1754,300,319,619,1135
2023-09-02,1001,300,492,792,209
2023-09-03,796,300,297,597,199
2023-09-04,1017,300,107,407,610
2023-09-05,1986,300,434,734,1252
2023-09-06,1039,300,791,1091,-52
2023-09-07,1601,300,130,430,1171
2023-09-08,1439,300,274,574,865
2023-09-09,1533,300,453,753,780
2023-09-10,1751,300,692,992,759
2023-09-11,1808,300,777,1077,731
2023-09-12,1972,300,521,821,1151
2023-09-13,1489,300,502,802,687
2023-09-14,834,300,459,759,75
2023-09-15,954,300,152,452,502
2023-09-16,894,300,163,463,431
2023-09-17,1158,300,257,557,601
2023-09-18,1563,300,666,966,597
2023-09-19,529,300,283,583,-54
2023-09-20,1883,300,446,746,1137
2023-09-21,1456,300,496,796,660
2023-09-22,1669,300,171,471,1198
2023-09-23,1403,300,480,780,623
2023-09-24,967,300,284,584,383
2023-09-25,1428,300,674,974,454
2023-09-26,1626,300,279,579,1047
2023-09-27,1042,300,250,550,492
2023-09-28,761,300,575,875,-114
2023-09-29,595,300,461,761,-166
2023-09-30,1930,300,216,516,1414
2023-10-01,1889,300,122,422,1467
2023-10-02,1498,300,502,802,696
2023-10-03,721,300,385,685,36
2023-10-04,518,300,152,452,66
2023-10-05,622,300,643,943,-321
2023-10-06,1829,300,567,867,962
2023-10-07,877,300,273,573,304
2023-10-08,1247,300,442,742,505
2023-10-09,1283,300,299,599,684
2023-10-10,912,300,247,547,365
2023-10-11,1338,300,444,744,594
2023-10-12,1518,300,314,614,904
2023-10-13,1753,300,549,849,904
2023-10-14,1105,300,371,671,434
2023-10-15,871,300,547,847,24
2023-10-16,1633,300,715,1015,618
2023-10-17,1990,300,268,568,1422
2023-10-18,1184,300,373,673,511
2023-10-19,1375,300,700,1000,375
2023-10-20,1754,300,340,640,1114
2023-10-21,1877,300,182,482,1395
2023-10-22,1467,300,600,900,567
2023-10-23,514,300,776,1076,-562
2023-10-24,1550,300,444,744,806
2023-10-25,1001,300,122,422,579
2023-10-26,1362,300,633,933,429
2023-10-27,696,300,788,1088,-392
2023-10-28,1642,300,246,546,1096
2023-10-29,1877,300,751,1051,826
2023-10-30,1151,300,477,777,374
2023-10-31,1960,300,680,980,980
2023-11-01,673,300,292,592,81
2023-11-02,1613,300,652,952,661
2023-11-03,1275,300,346,646,629
2023-11-04,1813,300,670,970,843
2023-11-05,763,300,262,562,201
2023-11-06,632,300,489,789,-157
2023-11-07,618,300,278,578,40
2023-11-08,1088,300,529,829,259
2023-11-09,754,300,452,752,2
2023-11-10,614,300,481,781,-167
2023-11-11,592,300,427,727,-135
2023-11-12,1232,300,765,1065,167
2023-11-13,747,300,101,401,346
2023-11-14,769,300,216,516,253
2023-11-15,1562,300,313,613,949
2023-11-16,911,300,778,1078,-167
2023-11-17,1480,300,261,561,919
2023-11-18,1522,300,515,815,707
2023-11-19,745,300,213,513,232
2023-11-20,794,300,128,428,366
2023-11-21,1367,300,131,431,936
2023-11-22,1703,300,166,466,1237
2023-11-23,1428,300,100,400,1028
2023-11-24,1433,300,466,766,667
2023-11-25,1951,300,464,764,1187
2023-11-26,644,300,481,781,-137
2023-11-27,1364,300,324,624,740
2023-11-28,1821,300,252,552,1269
2023-11-29,777,300,146,446,331
2023-11-30,791,300,418,718,73
2023-12-01,568,300,418,718,-150
2023-12-02,749,300,145,445,304
2023-12-03,858,300,471,771,87
2023-12-04,1438,300,157,457,981
2023-12-05,1300,300,460,760,540
2023-12-06,533,300,602,902,-369
2023-12-07,1146,300,293,593,553
2023-12-08,1831,300,643,943,888
2023-12-09,891,300,351,651,240
2023-12-10,641,300,227,527,114
2023-12-11,1911,300,512,812,1099
2023-12-12,1297,300,678,978,319
2023-12-13,561,300,196,496,65
2023-12-14,1478,300,606,906,572
2023-12-15,1430,300,285,585,845
2023-12-16,596,300,608,908,-312
2023-12-17,1314,300,439,739,575
2023-12-18,1309,300,376,676,633
2023-12-19,1004,300,140,440,564
2023-12-20,1634,300,534,834,800
2023-12-21,1516,300,602,902,614
2023-12-22,632,300,365,665,-33
2023-12-23,1648,300,484,784,864
2023-12-24,1742,300,505,805,937
2023-12-25,1598,300,249,549,1049
2023-12-26,1770,300,517,817,953
2023-12-27,1690,300,655,955,735
2023-12-28,1627,300,645,945,682
2023-12-29,1619,300,525,825,794
2023-12-30,699,300,169,469,230
2023-12-31,1210,300,123,423,787
